stem_a,stem_b,dhash_distance,similarity_level
000002,000002_080_00000048,27,normal
000002_080_00000048,000002_081_00000001,24,normal
000002_081_00000001,000002_081_00000047,15,normal
000002_081_00000047,000002_081_00000185,19,normal
000002_081_00000185,000002_082_00000061,37,normal
000002_082_00000061,000002_082_00000121,34,normal
000002_082_00000121,000002_083_00000001,33,normal
000002_083_00000001,000002_083_00000057,29,normal
000002_083_00000057,000002_083_00000113,38,normal
000002_083_00000113,000002_083_00000169,33,normal
000002_083_00000169,000003_002_00000060,35,normal
000003_002_00000060,000003_002_00000178,34,normal
000003_002_00000178,000003_013_00000085,26,normal
000003_013_00000085,000003_013_00000169,24,normal
000003_013_00000169,000003_014_00000001,33,normal
000003_014_00000001,000003_014_00000161,30,normal
000003_014_00000161,000003_015_00000001,24,normal
000003_015_00000001,000003_015_00000077,20,normal
000003_015_00000077,000003_018_00000167,25,normal
000003_018_00000167,000003_023_00000089,39,normal
000003_023_00000089,000003_026_00000001,43,normal
000003_026_00000001,000003_028_00000325,26,normal
000003_028_00000325,000003_029_00000084,30,normal
000003_029_00000084,000003_029_00000333,32,normal
000003_029_00000333,000003_030_00000082,29,normal
000003_030_00000082,000003_035_00000001,34,normal
000003_035_00000001,000003_035_00000179,21,normal
000003_035_00000179,000003_051_00000365,33,normal
000003_051_00000365,000003_068_00000082,38,normal
000003_068_00000082,000003_069_00000088,29,normal
000003_069_00000088,000003_069_00000175,31,normal
000003_069_00000175,000003_080_00000307,29,normal
000003_080_00000307,000003_080_00000409,4,very_similar
000003_080_00000409,000003_081_00000171,29,normal
000003_081_00000171,000003_081_00000341,12,normal
000003_081_00000341,00000004,39,normal
00000004,000004,37,normal
000004,000004_001_00000087,35,normal
000004_001_00000087,000004_002_00000001,27,normal
000004_002_00000001,000004_002_00000084,19,normal
000004_002_00000084,000004_005_00000238,32,normal
000004_005_00000238,000004_009_00000001,30,normal
000004_009_00000001,000004_009_00000081,32,normal
000004_009_00000081,000004_009_00000321,31,normal
000004_009_00000321,000004_010_00000199,28,normal
000004_010_00000199,000004_011_00000001,33,normal
000004_011_00000001,000004_011_00000171,25,normal
000004_011_00000171,000004_012_00000001,28,normal
000004_012_00000001,000004_013_00000001,33,normal
000004_013_00000001,000004_013_00000081,26,normal
000004_013_00000081,000004_013_00000241,15,normal
000004_013_00000241,000004_014_00000001,31,normal
000004_014_00000001,000004_015_00000163,24,normal
000004_015_00000163,000004_018_00000341,39,normal
000004_018_00000341,000004_019_00000321,35,normal
000004_019_00000321,000004_034_00000079,31,normal
000004_034_00000079,000004_036_00000082,32,normal
000004_036_00000082,000004_036_00000244,28,normal
000004_036_00000244,000004_036_00000325,33,normal
000004_036_00000325,000005,37,normal
000005,000005_003_00000181,27,normal
000005_003_00000181,000005_004_00000191,34,normal
000005_004_00000191,000005_004_00000286,37,normal
000005_004_00000286,000005_006_00000001,37,normal
000005_006_00000001,000005_010_00000001,36,normal
000005_010_00000001,000005_010_00000050,19,normal
000005_010_00000050,000005_011_00000421,23,normal
000005_011_00000421,000005_013_00000001,32,normal
000005_013_00000001,000005_014_00000292,33,normal
000005_014_00000292,000005_017_00000205,32,normal
000005_017_00000205,000005_017_00000307,21,normal
000005_017_00000307,000005_018_00000405,28,normal
000005_018_00000405,000005_019_00000105,33,normal
000005_019_00000105,000005_019_00000209,24,normal
000005_019_00000209,000005_019_00000313,22,normal
000005_019_00000313,000005_024_00000001,30,normal
000005_024_00000001,000005_026_00000001,36,normal
000005_026_00000001,000005_027_00000001,30,normal
000005_027_00000001,000005_027_00000247,23,normal
000005_027_00000247,000005_027_00000493,38,normal
000005_027_00000493,000005_028_00000001,27,normal
000005_028_00000001,000005_028_00000163,31,normal
000005_028_00000163,000005_029_00000191,30,normal
000005_029_00000191,000005_032_00000001,26,normal
000005_032_00000001,000005_032_00000205,34,normal
000005_032_00000205,000005_036_00000001,36,normal
000005_036_00000001,000005_036_00000108,17,normal
000005_036_00000108,000005_036_00000215,18,normal
000005_036_00000215,000005_036_00000429,12,normal
000005_036_00000429,000006_002_00000001,14,normal
000006_002_00000001,000006_002_00000102,24,normal
000006_002_00000102,000006_004_00000104,38,normal
000006_004_00000104,000006_004_00000207,32,normal
000006_004_00000207,000006_004_00000413,20,normal
000006_004_00000413,000006_005_00000295,31,normal
000006_005_00000295,000006_005_00000393,19,normal
000006_005_00000393,000006_007_00000211,35,normal
000006_007_00000211,000006_007_00000421,32,normal
000006_007_00000421,000006_008_00000001,32,normal
000006_008_00000001,000006_008_00000307,34,normal
000006_008_00000307,000006_009_00000089,41,normal
000006_009_00000089,000006_010_00000292,37,normal
000006_010_00000292,000006_010_00000389,33,normal
000006_010_00000389,000006_011_00000307,30,normal
000006_011_00000307,000006_011_00000409,6,similar
000006_011_00000409,000006_012_00000001,26,normal
000006_012_00000001,000006_013_00000001,31,normal
000006_013_00000001,000006_014_00000409,29,normal
000006_014_00000409,000006_015_00000329,29,normal
000006_015_00000329,000007_004_00000433,35,normal
000007_004_00000433,000007_007_00000038,28,normal
000007_007_00000038,000007_011_00000501,34,normal
000007_011_00000501,000007_015_00000209,35,normal
000007_015_00000209,000007_015_00000313,34,normal
000007_015_00000313,00000008,29,normal
00000008,000008_003_00000001,34,normal
000008_003_00000001,000008_003_00000235,30,normal
000008_003_00000235,000008_003_00000352,28,normal
000008_003_00000352,000008_003_00000469,35,normal
000008_003_00000469,000008_004_00000001,27,normal
000008_004_00000001,000008_004_00000167,34,normal
000008_004_00000167,000008_004_00000665,29,normal
000008_004_00000665,000008_005_00000167,33,normal
000008_005_00000167,000008_005_00000333,20,normal
000008_005_00000333,000008_005_00000665,25,normal
000008_005_00000665,000008_007_00000868,39,normal
000008_007_00000868,000008_012_00000001,40,normal
000008_012_00000001,000008_012_00000151,29,normal
000008_012_00000151,000008_013_00000195,10,similar
000008_013_00000195,000008_017_00000001,29,normal
000008_017_00000001,000008_021_00000415,37,normal
000008_021_00000415,000008_032_00000001,27,normal
000008_032_00000001,000008_033_00000001,24,normal
000008_033_00000001,000008_033_00000076,5,very_similar
