class_id,class_name,instances,images_containing_class,instance_ratio
0,person,5496,1112,0.38132241726219385
1,boat,135,62,0.00936654409213904
2,animal,3061,799,0.2123777145632415
3,seat,621,315,0.04308610282383959
4,sign,809,441,0.05612988274474433
5,bicycle,665,213,0.04613890237979602
6,car,1571,403,0.10899882050926248
7,ball,89,75,0.006174980920002775
8,light,1455,467,0.10095053077083188
9,garbage_can,282,231,0.01956566988135711
10,uav,204,148,0.01415388885034344
11,tricycle,25,21,0.0017345452022479706
