stem,issue
000003_026_00000001,bbox_cross_image_boundary_line_1
00000004,depth_is_jpeg
00000004,depth_dtype_uint8
00000004,"depth_not_single_channel_shape_(360, 640, 3)"
000005_014_00000292,bbox_cross_image_boundary_line_6
00000008,depth_is_jpeg
00000008,depth_dtype_uint8
00000008,"depth_not_single_channel_shape_(360, 640, 3)"
000008_012_00000001,bbox_cross_image_boundary_line_4
000011_008_00000001,bbox_cross_image_boundary_line_1
000011_008_00000083,bbox_cross_image_boundary_line_3
000011_008_00000083,bbox_cross_image_boundary_line_5
000016_034_00000199,bbox_cross_image_boundary_line_1
00000022,depth_is_jpeg
00000022,depth_dtype_uint8
00000022,"depth_not_single_channel_shape_(360, 640, 3)"
00000025,depth_is_jpeg
00000025,depth_dtype_uint8
00000025,"depth_not_single_channel_shape_(360, 640, 3)"
000029,bbox_cross_image_boundary_line_8
000029,bbox_cross_image_boundary_line_9
00000031,depth_is_jpeg
00000031,depth_dtype_uint8
00000031,"depth_not_single_channel_shape_(360, 640, 3)"
00000033,depth_is_jpeg
00000033,depth_dtype_uint8
00000033,"depth_not_single_channel_shape_(360, 640, 3)"
00000034,depth_is_jpeg
00000034,depth_dtype_uint8
00000034,"depth_not_single_channel_shape_(360, 640, 3)"
00000036,depth_is_jpeg
00000036,depth_dtype_uint8
00000036,"depth_not_single_channel_shape_(360, 640, 3)"
00000038,depth_is_jpeg
00000038,depth_dtype_uint8
00000038,"depth_not_single_channel_shape_(360, 640, 3)"
000042,bbox_cross_image_boundary_line_28
00000043,depth_is_jpeg
00000043,depth_dtype_uint8
00000043,"depth_not_single_channel_shape_(360, 640, 3)"
000045,bbox_cross_image_boundary_line_23
00000045,depth_is_jpeg
00000045,depth_dtype_uint8
00000045,"depth_not_single_channel_shape_(360, 640, 3)"
00000047,depth_is_jpeg
00000047,depth_dtype_uint8
00000047,"depth_not_single_channel_shape_(360, 640, 3)"
00000049,depth_is_jpeg
00000049,depth_dtype_uint8
00000049,"depth_not_single_channel_shape_(360, 640, 3)"
000050,label_invalid_xywh_line_27
000050,label_invalid_xywh_line_37
00000050,depth_is_jpeg
00000050,depth_dtype_uint8
00000050,"depth_not_single_channel_shape_(360, 640, 3)"
00000052,depth_is_jpeg
00000052,depth_dtype_uint8
00000052,"depth_not_single_channel_shape_(360, 640, 3)"
00000054,depth_is_jpeg
00000054,depth_dtype_uint8
00000054,"depth_not_single_channel_shape_(360, 640, 3)"
00000056,depth_is_jpeg
00000056,depth_dtype_uint8
00000056,"depth_not_single_channel_shape_(360, 640, 3)"
00000057,depth_is_jpeg
00000057,depth_dtype_uint8
00000057,"depth_not_single_channel_shape_(360, 640, 3)"
00000063,depth_is_jpeg
00000063,depth_dtype_uint8
00000063,"depth_not_single_channel_shape_(360, 640, 3)"
00000068,depth_is_jpeg
00000068,depth_dtype_uint8
00000068,"depth_not_single_channel_shape_(360, 640, 3)"
00000072,depth_is_jpeg
00000072,depth_dtype_uint8
00000072,"depth_not_single_channel_shape_(360, 640, 3)"
00000084,depth_is_jpeg
00000084,depth_dtype_uint8
00000084,"depth_not_single_channel_shape_(360, 640, 3)"
00000090,depth_is_jpeg
00000090,depth_dtype_uint8
00000090,"depth_not_single_channel_shape_(360, 640, 3)"
00000093,depth_is_jpeg
00000093,depth_dtype_uint8
00000093,"depth_not_single_channel_shape_(360, 640, 3)"
00000095,depth_is_jpeg
00000095,depth_dtype_uint8
00000095,"depth_not_single_channel_shape_(360, 640, 3)"
00000098,depth_is_jpeg
00000098,depth_dtype_uint8
00000098,"depth_not_single_channel_shape_(360, 640, 3)"
00000104,depth_is_jpeg
00000104,depth_dtype_uint8
00000104,"depth_not_single_channel_shape_(360, 640, 3)"
00000106,depth_is_jpeg
00000106,depth_dtype_uint8
00000106,"depth_not_single_channel_shape_(360, 640, 3)"
00000111,depth_is_jpeg
