stem,visible_file,infrared_file,depth_file,label_file,visible_shape,visible_dtype,infrared_shape,infrared_dtype,depth_shape,depth_dtype,depth_min,depth_max,depth_zero_ratio,depth_valid_ratio,depth_under_300_ratio,depth_over_19999_ratio,infrared_black_ratio,infrared_channel_mad,target_count,issues
000002,000002.png,000002.png,000002.png,000002.txt,1080x1920x3,uint8,1080x1920x3,uint8,1080x1920,uint16,0,19999,0.20678288966049382,0.7932171103395061,0.0,0.0,0.21141396604938273,0.25241608421007794,6,
000002_080_00000048,000002_080_00000048.png,000002_080_00000048.png,000002_080_00000048.png,000002_080_00000048.txt,1080x1920x3,uint8,1080x1920x3,uint8,1080x1920,uint16,0,19999,0.33967737268518516,0.6603226273148148,0.0,0.0,7.330246913580247e-05,1.626291831334432,2,
000002_081_00000001,000002_081_00000001.png,000002_081_00000001.png,000002_081_00000001.png,000002_081_00000001.txt,1080x1920x3,uint8,1080x1920x3,uint8,1080x1920,uint16,0,19999,0.24901716820987654,0.7509828317901235,0.0,0.0,0.00013792438271604938,2.156743844350179,3,
000002_081_00000047,000002_081_00000047.png,000002_081_00000047.png,000002_081_00000047.png,000002_081_00000047.txt,1080x1920x3,uint8,1080x1920x3,uint8,1080x1920,uint16,0,19999,0.24541521990740742,0.7545847800925926,0.0,0.0,3.472222222222222e-05,1.764768163363139,4,
000002_081_00000185,000002_081_00000185.png,000002_081_00000185.png,000002_081_00000185.png,000002_081_00000185.txt,1080x1920x3,uint8,1080x1920x3,uint8,1080x1920,uint16,0,19999,0.36547453703703703,0.634525462962963,0.0,0.0,2.0736882716049384e-05,1.5137213865915935,3,
000002_082_00000061,000002_082_00000061.png,000002_082_00000061.png,000002_082_00000061.png,000002_082_00000061.txt,1080x1920x3,uint8,1080x1920x3,uint8,1080x1920,uint16,0,19999,0.23152536651234568,0.7684746334876543,0.0,0.0,3.279320987654321e-05,1.7719930013020833,4,
000002_082_00000121,000002_082_00000121.png,000002_082_00000121.png,000002_082_00000121.png,000002_082_00000121.txt,1080x1920x3,uint8,1080x1920x3,uint8,1080x1920,uint16,0,19999,0.2819314236111111,0.7180685763888889,0.0,0.0,5.2565586419753085e-05,2.2285053730010986,5,
000002_083_00000001,000002_083_00000001.png,000002_083_00000001.png,000002_083_00000001.png,000002_083_00000001.txt,1080x1920x3,uint8,1080x1920x3,uint8,1080x1920,uint16,0,19999,0.26957706404320986,0.7304229359567901,0.0,0.0,1.253858024691358e-05,1.8159969647725422,3,
000002_083_00000057,000002_083_00000057.png,000002_083_00000057.png,000002_083_00000057.png,000002_083_00000057.txt,1080x1920x3,uint8,1080x1920x3,uint8,1080x1920,uint16,0,19999,0.12940538194444445,0.8705946180555556,0.0,0.0,2.7006172839506174e-05,1.593449056148529,3,
000002_083_00000113,000002_083_00000113.png,000002_083_00000113.png,000002_083_00000113.png,000002_083_00000113.txt,1080x1920x3,uint8,1080x1920x3,uint8,1080x1920,uint16,0,19999,0.358154899691358,0.6418296682098765,1.54320987654321e-05,0.0,0.0,1.40631236632665,4,
000002_083_00000169,000002_083_00000169.png,000002_083_00000169.png,000002_083_00000169.png,000002_083_00000169.txt,1080x1920x3,uint8,1080x1920x3,uint8,1080x1920,uint16,0,19999,0.2369410686728395,0.7630589313271605,0.0,0.0,1.7843364197530866e-05,1.3637030919392903,5,
000003_002_00000060,000003_002_00000060.png,000003_002_00000060.png,000003_002_00000060.png,000003_002_00000060.txt,1080x1920x3,uint8,1080x1920x3,uint8,1080x1920,uint16,0,19999,0.3155589313271605,0.6844410686728395,0.0,0.0,2.4112654320987654e-06,1.5555906295776367,5,
000003_002_00000178,000003_002_00000178.png,000003_002_00000178.png,000003_002_00000178.png,000003_002_00000178.txt,1080x1920x3,uint8,1080x1920x3,uint8,1080x1920,uint16,0,19999,0.2896113040123457,0.7103780864197531,1.0609567901234568e-05,0.0,6.26929012345679e-06,1.5148537556330364,11,
000003_013_00000085,000003_013_00000085.png,000003_013_00000085.png,000003_013_00000085.png,000003_013_00000085.txt,1080x1920x3,uint8,1080x1920x3,uint8,1080x1920,uint16,0,19999,0.40022762345679014,0.5997723765432099,0.0,0.0,0.0007744984567901235,1.6117939949035645,3,
000003_013_00000169,000003_013_00000169.png,000003_013_00000169.png,000003_013_00000169.png,000003_013_00000169.txt,1080x1920x3,uint8,1080x1920x3,uint8,1080x1920,uint16,0,19999,0.3094724151234568,0.6905275848765432,0.0,0.0,0.005680941358024692,1.1868216395378113,5,
000003_014_00000001,000003_014_00000001.png,000003_014_00000001.png,000003_014_00000001.png,000003_014_00000001.txt,1080x1920x3,uint8,1080x1920x3,uint8,1080x1920,uint16,0,19999,0.25708815586419753,0.7429118441358025,0.0,0.0,0.0016478587962962964,1.5206307967503865,3,
000003_014_00000161,000003_014_00000161.png,000003_014_00000161.png,000003_014_00000161.png,000003_014_00000161.txt,1080x1920x3,uint8,1080x1920x3,uint8,1080x1920,uint16,0,19999,0.3417853009259259,0.658214699074074,0.0,0.0,0.0010628858024691358,1.6698479255040486,9,
000003_015_00000001,000003_015_00000001.png,000003_015_00000001.png,000003_015_00000001.png,000003_015_00000001.txt,1080x1920x3,uint8,1080x1920x3,uint8,1080x1920,uint16,0,19999,0.610877700617284,0.38912229938271603,0.0,0.0,0.0003824266975308642,3.9185237089792886,7,
000003_015_00000077,000003_015_00000077.png,000003_015_00000077.png,000003_015_00000077.png,000003_015_00000077.txt,1080x1920x3,uint8,1080x1920x3,uint8,1080x1920,uint16,0,19999,0.4330608603395062,0.5669391396604938,0.0,0.0,6.799768518518518e-05,5.317815780639648,3,
000003_018_00000167,000003_018_00000167.png,000003_018_00000167.png,000003_018_00000167.png,000003_018_00000167.txt,1080x1920x3,uint8,1080x1920x3,uint8,1080x1920,uint16,0,19999,0.35499228395061727,0.6450077160493827,0.0,0.0,0.0056331983024691355,0.581193079551061,2,
000003_023_00000089,000003_023_00000089.png,000003_023_00000089.png,000003_023_00000089.png,000003_023_00000089.txt,1080x1920x3,uint8,1080x1920x3,uint8,1080x1920,uint16,0,19999,0.1711207561728395,0.8288792438271605,0.0,0.0,1.3020833333333334e-05,1.534945050875346,7,
000003_026_00000001,000003_026_00000001.png,000003_026_00000001.png,000003_026_00000001.png,000003_026_00000001.txt,1080x1920x3,uint8,1080x1920x3,uint8,1080x1920,uint16,0,19999,0.14906153549382717,0.8509384645061728,0.0,0.0,0.0005733989197530864,1.2365290721257527,3,bbox_cross_image_boundary_line_1
000003_028_00000325,000003_028_00000325.png,000003_028_00000325.png,000003_028_00000325.png,000003_028_00000325.txt,1080x1920x3,uint8,1080x1920x3,uint8,1080x1920,uint16,0,19999,0.3508024691358025,0.6491975308641975,0.0,0.0,7.137345679012346e-05,1.3204227685928345,4,
000003_029_00000084,000003_029_00000084.png,000003_029_00000084.png,000003_029_00000084.png,000003_029_00000084.txt,1080x1920x3,uint8,1080x1920x3,uint8,1080x1920,uint16,0,19999,0.23690779320987654,0.7630922067901235,0.0,0.0,9.066358024691358e-05,2.935825606187185,7,
000003_029_00000333,000003_029_00000333.png,000003_029_00000333.png,000003_029_00000333.png,000003_029_00000333.txt,1080x1920x3,uint8,1080x1920x3,uint8,1080x1920,uint16,0,19997,0.16534143518518518,0.8346585648148148,0.0,0.0,0.00011574074074074075,2.4767743746439614,3,
000003_030_00000082,000003_030_00000082.png,000003_030_00000082.png,000003_030_00000082.png,000003_030_00000082.txt,1080x1920x3,uint8,1080x1920x3,uint8,1080x1920,uint16,0,19999,0.25733024691358025,0.7426697530864198,0.0,0.0,0.0006934799382716049,1.4790184497833252,3,
