group_id,split,size,first_stem,last_stem
0,train,25,000002,000114
1,val,1,000002_080_00000048,000002_080_00000048
2,train,3,000002_081_00000001,000002_081_00000185
3,train,2,000002_082_00000061,000002_082_00000121
4,train,4,000002_083_00000001,000002_083_00000169
5,train,2,000003_002_00000060,000003_002_00000178
6,val,2,000003_013_00000085,000003_013_00000169
7,train,2,000003_014_00000001,000003_014_00000161
8,val,2,000003_015_00000001,000003_015_00000077
9,train,1,000003_018_00000167,000003_018_00000167
10,val,1,000003_023_00000089,000003_023_00000089
11,val,1,000003_026_00000001,000003_026_00000001
12,val,1,000003_028_00000325,000003_028_00000325
13,train,2,000003_029_00000084,000003_029_00000333
14,val,1,000003_030_00000082,000003_030_00000082
15,train,2,000003_035_00000001,000003_035_00000179
16,train,1,000003_051_00000365,000003_051_00000365
17,val,1,000003_068_00000082,000003_068_00000082
18,val,2,000003_069_00000088,000003_069_00000175
19,train,2,000003_080_00000307,000003_080_00000409
20,train,2,000003_081_00000171,000003_081_00000341
21,train,25,00000004,00000095
22,train,1,000004_001_00000087,000004_001_00000087
23,val,2,000004_002_00000001,000004_002_00000084
24,train,1,000004_005_00000238,000004_005_00000238
25,train,3,000004_009_00000001,000004_009_00000321
26,train,1,000004_010_00000199,000004_010_00000199
27,train,2,000004_011_00000001,000004_011_00000171
28,train,1,000004_012_00000001,000004_012_00000001
29,train,3,000004_013_00000001,000004_013_00000241
30,train,1,000004_014_00000001,000004_014_00000001
31,val,1,000004_015_00000163,000004_015_00000163
32,train,1,000004_018_00000341,000004_018_00000341
33,train,1,000004_019_00000321,000004_019_00000321
34,train,1,000004_034_00000079,000004_034_00000079
35,train,3,000004_036_00000082,000004_036_00000325
36,train,1,000005_003_00000181,000005_003_00000181
37,val,2,000005_004_00000191,000005_004_00000286
38,train,1,000005_006_00000001,000005_006_00000001
39,val,2,000005_010_00000001,000005_010_00000050
40,train,1,000005_011_00000421,000005_011_00000421
41,train,1,000005_013_00000001,000005_013_00000001
42,train,1,000005_014_00000292,000005_014_00000292
43,train,2,000005_017_00000205,000005_017_00000307
44,train,1,000005_018_00000405,000005_018_00000405
45,train,3,000005_019_00000105,000005_019_00000313
46,train,1,000005_024_00000001,000005_024_00000001
47,train,1,000005_026_00000001,000005_026_00000001
48,train,3,000005_027_00000001,000005_027_00000493
49,train,2,000005_028_00000001,000005_028_00000163
50,train,1,000005_029_00000191,000005_029_00000191
51,train,2,000005_032_00000001,000005_032_00000205
52,train,4,000005_036_00000001,000005_036_00000429
53,train,2,000006_002_00000001,000006_002_00000102
54,train,3,000006_004_00000104,000006_004_00000413
55,train,2,000006_005_00000295,000006_005_00000393
56,train,2,000006_007_00000211,000006_007_00000421
57,train,2,000006_008_00000001,000006_008_00000307
58,train,1,000006_009_00000089,000006_009_00000089
59,val,2,000006_010_00000292,000006_010_00000389
60,val,2,000006_011_00000307,000006_011_00000409
61,train,1,000006_012_00000001,000006_012_00000001
62,train,1,000006_013_00000001,000006_013_00000001
63,train,1,000006_014_00000409,000006_014_00000409
64,train,1,000006_015_00000329,000006_015_00000329
65,train,1,000007_004_00000433,000007_004_00000433
66,train,1,000007_007_00000038,000007_007_00000038
67,val,1,000007_011_00000501,000007_011_00000501
68,train,2,000007_015_00000209,000007_015_00000313
69,val,4,000008_003_00000001,000008_003_00000469
70,train,3,000008_004_00000001,000008_004_00000665
71,train,3,000008_005_00000167,000008_005_00000665
72,train,1,000008_007_00000868,000008_007_00000868
73,train,2,000008_012_00000001,000008_012_00000151
74,train,1,000008_013_00000195,000008_013_00000195
75,train,1,000008_017_00000001,000008_017_00000001
76,train,1,000008_021_00000415,000008_021_00000415
77,train,1,000008_032_00000001,000008_032_00000001
78,val,2,000008_033_00000001,000008_033_00000076
79,train,3,000008_035_00000001,000008_035_00000429
80,train,1,000008_037_00000453,000008_037_00000453
81,train,1,000008_039_00000214,000008_039_00000214
82,train,1,000008_040_00000304,000008_040_00000304
83,train,1,000008_042_00000273,000008_042_00000273
84,train,1,000008_043_00000001,000008_043_00000001
85,train,2,000008_045_00000001,000008_045_00000157
86,val,1,000008_046_00000157,000008_046_00000157
87,train,3,000008_047_00000001,000008_047_00000149
88,val,1,000008_048_00000361,000008_048_00000361
89,train,1,000009_008_00000241,000009_008_00000241
90,train,1,000009_011_00000087,000009_011_00000087
91,val,1,000009_012_00000083,000009_012_00000083
92,val,1,000009_020_00000325,000009_020_00000325
93,train,1,000009_022_00000247,000009_022_00000247
94,train,1,000009_032_00000141,000009_032_00000141
95,train,2,000009_033_00000250,000009_033_00000333
96,train,2,000009_034_00000179,000009_034_00000268
97,val,1,000009_036_00000051,000009_036_00000051
98,train,2,000009_038_00000026,000009_038_00000076
99,val,1,000009_040_00000101,000009_040_00000101
100,train,2,000010_006_00000185,000010_006_00000369
101,train,2,000010_008_00000102,000010_008_00000203
102,train,1,000010_015_00000237,000010_015_00000237
103,val,2,000010_016_00000189,000010_016_00000283
104,val,1,000011_001_00000001,000011_001_00000001
105,train,2,000011_002_00000001,000011_002_00000085
106,train,3,000011_003_00000001,000011_003_00000381
107,train,1,000011_004_00000086,000011_004_00000086
108,train,2,000011_006_00000001,000011_006_00000256
109,train,2,000011_008_00000001,000011_008_00000083
110,train,1,000011_012_00000280,000011_012_00000280
111,val,1,000011_015_00000244,000011_015_00000244
112,val,1,000011_017_00000253,000011_017_00000253
113,train,1,000011_018_00000337,000011_018_00000337
114,train,1,000011_019_00000165,000011_019_00000165
115,train,1,000011_020_00000179,000011_020_00000179
116,train,1,000011_027_00000001,000011_027_00000001
117,train,1,000011_039_00000247,000011_039_00000247
118,val,2,000012_003_00000226,000012_003_00000301
119,train,2,000012_004_00000083,000012_004_00000329
120,train,1,000012_005_00000001,000012_005_00000001
121,val,1,000012_008_00000163,000012_008_00000163
122,train,3,000012_009_00000163,000012_009_00000325
123,train,3,000012_010_00000001,000012_010_00000297
124,val,1,000012_014_00000184,000012_014_00000184
125,val,1,000012_015_00000253,000012_015_00000253
126,val,2,000012_019_00000076,000012_019_00000151
127,val,1,000012_020_00000365,000012_020_00000365
128,val,1,000012_022_00000090,000012_022_00000090
129,train,1,000012_023_00000238,000012_023_00000238
130,train,1,000012_024_00000253,000012_024_00000253
131,val,1,000012_025_00000313,000012_025_00000313
132,train,2,000012_028_00000250,000012_028_00000333
133,train,1,000012_031_00000001,000012_031_00000001
134,train,1,000012_034_00000321,000012_034_00000321
135,train,1,000012_035_00000244,000012_035_00000244
136,train,3,000013_001_00000001,000013_001_00000281
137,train,1,000013_001_suppl_00000354,000013_001_suppl_00000354
138,train,2,000013_002_00000001,000013_002_00000281
139,train,2,000013_004_00000159,000013_004_00000238
140,val,1,000013_010_00000232,000013_010_00000232
141,train,1,000013_011_00000076,000013_011_00000076
142,train,1,000013_015_suppl_00000384,000013_015_suppl_00000384
143,train,1,000013_016_00000001,000013_016_00000001
144,val,1,000013_016_suppl_00000381,000013_016_suppl_00000381
145,train,4,000013_017_00000001,000013_017_00000187
146,val,1,000013_021_00000083,000013_021_00000083
147,train,3,000013_023_00000001,000013_023_00000223
148,train,2,000013_025_00000001,000013_025_00000285
149,train,3,000013_030_00000001,000013_030_00000187
150,val,1,000013_033_00000001,000013_033_00000001
151,train,5,000013_034_00000001,000013_034_00000273
152,train,1,000013_036_00000208,000013_036_00000208
153,val,2,000013_039_00000063,000013_039_00000187
154,train,1,000013_040_00000001,000013_040_00000001
155,train,2,000013_040_suppl_00000167,000013_040_suppl_00000333
156,train,1,000013_044_00000001,000013_044_00000001
157,train,2,000013_045_00000343,000013_045_00000457
158,train,1,000013_045_suppl_00000571,000013_045_suppl_00000571
159,train,3,000013_046_00000001,000013_046_00000202
160,train,1,000013_047_00000223,000013_047_00000223
161,train,2,000013_048_00000001,000013_048_00000072
162,train,2,000013_048_suppl_00000180,000013_048_suppl_00000359
163,train,2,000013_052_00000065,000013_052_00000193
164,train,2,000013_052_suppl_00000162,000013_052_suppl_00000323
165,train,1,000013_053_suppl_00000179,000013_053_suppl_00000179
166,train,2,000013_055_00000001,000013_055_00000241
167,train,1,000013_055_suppl_00000300,000013_055_suppl_00000300
168,train,2,000013_056_00000071,000013_056_00000281
169,train,2,000014_002_00000067,000014_002_suppl_00000167
170,train,1,000014_011_00000060,000014_011_00000060
171,train,1,000014_012_00000217,000014_012_00000217
172,val,1,000014_014_00000072,000014_014_00000072
173,train,1,000014_014_suppl_00000356,000014_014_suppl_00000356
174,val,1,000014_015_00000285,000014_015_00000285
175,train,1,000014_016_00000001,000014_016_00000001
176,train,1,000014_016_suppl_00000354,000014_016_suppl_00000354
177,val,1,000014_018_00000143,000014_018_00000143
178,train,1,000014_020_suppl_00000370,000014_020_suppl_00000370
179,val,1,000014_022_00000069,000014_022_00000069
180,train,1,000014_022_suppl_00000340,000014_022_suppl_00000340
181,train,2,000014_023_00000208,000014_023_00000277
182,train,2,000014_023_suppl_00000174,000014_023_suppl_00000346
183,train,1,000014_024_00000071,000014_024_00000071
184,train,1,000014_025_00000184,000014_025_00000184
185,train,1,000014_025_suppl_00000308,000014_025_suppl_00000308
186,train,3,000014_026_00000064,000014_026_00000190
187,train,1,000014_026_suppl_00000160,000014_026_suppl_00000160
188,train,1,000014_032_00000068,000014_032_00000068
189,train,1,000014_035_00000199,000014_035_00000199
190,val,1,000014_037_00000271,000014_037_00000271
191,val,1,000014_037_suppl_00000451,000014_037_suppl_00000451
192,train,1,000014_045_suppl_00000390,000014_045_suppl_00000390
193,train,2,000014_047_00000139,000014_047_00000208
194,train,1,000014_047_suppl_00000349,000014_047_suppl_00000349
195,train,1,000014_049_suppl_00000180,000014_049_suppl_00000180
196,train,3,000014_050_00000001,000014_050_00000273
197,val,1,000014_050_suppl_00000172,000014_050_suppl_00000172
198,train,2,000014_051_suppl_00000171,000014_051_suppl_00000341
199,train,4,000014_052_00000001,000014_052_00000261
200,train,1,000014_052_suppl_00000164,000014_052_suppl_00000164
201,val,1,000014_053_suppl_00000165,000014_053_suppl_00000165
202,train,2,000014_060_00000001,000014_060_00000205
203,val,1,000014_062_00000001,000014_062_00000001
204,train,1,000014_062_suppl_00000174,000014_062_suppl_00000174
205,train,2,000014_064_00000001,000014_064_00000135
206,train,1,000014_069_suppl_00000350,000014_069_suppl_00000350
