stem,split,group_id,source,visible,infrared,depth,label,num_objects,classes
000002,train,0,numeric_6digit_png,000002.png,000002.png,000002.png,000002.txt,6,0;3;8
000002_080_00000048,val,1,structured_other_png,000002_080_00000048.png,000002_080_00000048.png,000002_080_00000048.png,000002_080_00000048.txt,2,0;6
000002_081_00000001,train,2,structured_other_png,000002_081_00000001.png,000002_081_00000001.png,000002_081_00000001.png,000002_081_00000001.txt,3,0
000002_081_00000047,train,2,structured_other_png,000002_081_00000047.png,000002_081_00000047.png,000002_081_00000047.png,000002_081_00000047.txt,4,0;4
000002_081_00000185,train,2,structured_other_png,000002_081_00000185.png,000002_081_00000185.png,000002_081_00000185.png,000002_081_00000185.txt,3,0;4;9
000002_082_00000061,train,3,structured_other_png,000002_082_00000061.png,000002_082_00000061.png,000002_082_00000061.png,000002_082_00000061.txt,4,4;5;11
000002_082_00000121,train,3,structured_other_png,000002_082_00000121.png,000002_082_00000121.png,000002_082_00000121.png,000002_082_00000121.txt,5,4;5;11
000002_083_00000001,train,4,structured_other_png,000002_083_00000001.png,000002_083_00000001.png,000002_083_00000001.png,000002_083_00000001.txt,3,4;5;11
000002_083_00000057,train,4,structured_other_png,000002_083_00000057.png,000002_083_00000057.png,000002_083_00000057.png,000002_083_00000057.txt,3,4;11
000002_083_00000113,train,4,structured_other_png,000002_083_00000113.png,000002_083_00000113.png,000002_083_00000113.png,000002_083_00000113.txt,4,4;11
000002_083_00000169,train,4,structured_other_png,000002_083_00000169.png,000002_083_00000169.png,000002_083_00000169.png,000002_083_00000169.txt,5,4;5;6;11
000003_002_00000060,train,5,structured_other_png,000003_002_00000060.png,000003_002_00000060.png,000003_002_00000060.png,000003_002_00000060.txt,5,5
000003_002_00000178,train,5,structured_other_png,000003_002_00000178.png,000003_002_00000178.png,000003_002_00000178.png,000003_002_00000178.txt,11,5;6;9
000003_013_00000085,val,6,structured_other_png,000003_013_00000085.png,000003_013_00000085.png,000003_013_00000085.png,000003_013_00000085.txt,3,5;11
000003_013_00000169,val,6,structured_other_png,000003_013_00000169.png,000003_013_00000169.png,000003_013_00000169.png,000003_013_00000169.txt,5,5;11
000003_014_00000001,train,7,structured_other_png,000003_014_00000001.png,000003_014_00000001.png,000003_014_00000001.png,000003_014_00000001.txt,3,6
000003_014_00000161,train,7,structured_other_png,000003_014_00000161.png,000003_014_00000161.png,000003_014_00000161.png,000003_014_00000161.txt,9,0;6
000003_015_00000001,val,8,structured_other_png,000003_015_00000001.png,000003_015_00000001.png,000003_015_00000001.png,000003_015_00000001.txt,7,0;6;8
000003_015_00000077,val,8,structured_other_png,000003_015_00000077.png,000003_015_00000077.png,000003_015_00000077.png,000003_015_00000077.txt,3,4;6;8
000003_018_00000167,train,9,structured_other_png,000003_018_00000167.png,000003_018_00000167.png,000003_018_00000167.png,000003_018_00000167.txt,2,8;9
000003_023_00000089,val,10,structured_other_png,000003_023_00000089.png,000003_023_00000089.png,000003_023_00000089.png,000003_023_00000089.txt,7,0;4;6
000003_026_00000001,val,11,structured_other_png,000003_026_00000001.png,000003_026_00000001.png,000003_026_00000001.png,000003_026_00000001.txt,3,0;6
000003_028_00000325,val,12,structured_other_png,000003_028_00000325.png,000003_028_00000325.png,000003_028_00000325.png,000003_028_00000325.txt,4,6
