class_id,class_name,total_instances,train_instances,val_instances,val_instance_ratio,total_images,train_images,val_images,val_image_ratio
0,person,5499,4298,1201,0.21840334606292053,1113,886,227,0.20395327942497754
1,boat,135,109,26,0.1925925925925926,62,50,12,0.1935483870967742
2,animal,3061,2420,641,0.20940868997059783,799,636,163,0.20400500625782228
3,seat,621,513,108,0.17391304347826086,315,247,68,0.21587301587301588
4,sign,809,655,154,0.1903584672435105,441,351,90,0.20408163265306123
5,bicycle,666,534,132,0.1981981981981982,213,171,42,0.19718309859154928
6,car,1571,1259,312,0.19859961807765755,403,322,81,0.20099255583126552
7,ball,89,72,17,0.19101123595505617,75,60,15,0.2
8,light,1455,1114,341,0.23436426116838488,467,365,102,0.21841541755888652
9,garbage_can,282,225,57,0.20212765957446807,231,185,46,0.19913419913419914
10,uav,204,172,32,0.1568627450980392,148,116,32,0.21621621621621623
11,tricycle,25,18,7,0.28,21,17,4,0.19047619047619047
